,center_x,center_y
290,278.6,4276.1
291,215.4,4260.8
292,205.3,4337.9
293,309.8,4221.0
294,365.5,4245.4
295,335.6,4218.8
296,333.6,4371.1
297,285.9,4389.3
298,262.8,4235.8
299,370.2,4299.3
300,300.4,4329.6
301,210.6,4302.5
302,323.3,4204.3
303,348.6,4352.2
304,363.5,4390.2
305,221.3,4395.4
306,202.7,4209.2
307,273.6,4204.2
308,220.4,4407.5
309,354.9,4330.1
310,360.7,4365.3
311,195.3,4294.8
312,255.0,4241.6
313,192.4,4477.5
314,227.8,4451.7
315,373.9,4529.3
316,190.7,4485.5
317,201.7,4544.9
318,272.7,4601.6
319,244.0,4491.6
320,275.0,4577.3
321,330.3,4569.3
322,220.0,4593.8
323,292.2,4549.6
324,243.2,4512.4
325,214.4,4522.7
326,394.2,4553.1
327,265.2,4436.7
328,249.9,4461.5
329,348.7,4610.3
330,373.8,4500.6
331,271.4,4557.5
332,230.1,4488.0
333,367.8,4576.7
334,190.0,4435.4
335,338.0,4490.0
336,206.3,4482.2
337,356.6,4450.9
338,195.3,4510.3
339,195.6,4500.8
340,322.5,4452.0
341,244.2,4431.3
342,267.2,4587.0
343,278.9,4518.2
344,186.6,4418.2
345,291.8,4451.3
346,382.2,4455.3
347,185.8,4459.1
348,354.0,4422.5
349,332.4,4428.2
350,343.8,4462.6
351,308.1,4510.7
352,364.0,4480.0
353,346.0,4440.5
354,368.6,4464.4
355,213.8,4485.1
356,196.6,4516.3
357,193.5,4496.1
358,388.6,4610.3
359,281.7,4771.7
360,373.0,4671.4
361,290.6,4789.1
362,350.3,4678.9
363,324.8,4653.0
364,378.5,4665.1
365,236.9,4609.2
366,287.5,4650.2
367,364.4,4669.6
368,329.6,4739.7
369,263.9,4730.6
370,335.2,4757.0
371,331.8,4787.3
372,250.8,4691.9
373,250.9,4649.8
374,287.9,4624.2
375,226.1,4607.8
376,234.2,4638.6
377,240.0,4662.7
378,325.1,4695.4
379,260.0,4716.5
380,270.3,4746.0
381,296.5,4648.0
382,346.8,4714.7
383,384.6,4634.0
384,288.9,4738.9
385,317.7,4689.3
386,220.8,4607.5
387,373.5,4796.8
388,368.7,4709.3
389,351.3,4632.6
390,294.6,4814.8
391,311.6,4715.4
392,286.2,4723.2
393,379.1,4867.0
394,340.2,4933.6
395,301.7,4833.2
396,335.2,4923.5
397,379.2,4928.4
398,356.0,4828.9
399,375.6,4822.1
400,374.1,4993.5
401,339.9,4859.3
402,322.2,4874.4
403,352.9,4950.4
404,316.8,4865.6
405,363.8,4952.8
406,391.5,4877.6
407,333.7,4913.4
408,308.6,4847.7
409,329.0,4899.2
410,342.3,4944.8
411,356.3,4817.0
412,327.7,4889.0
413,379.8,5011.2
414,310.6,4857.5
415,564.4,5230.0
416,559.8,5279.1
417,545.4,5265.7
418,544.6,5225.3
419,535.5,5258.2
420,516.0,5218.4
421,521.4,5243.1
422,588.2,5252.1
423,573.0,5288.2
424,511.9,5228.8
425,565.1,5258.5
426,576.9,5081.6
427,437.1,5118.1
428,515.5,5034.8
429,508.3,5196.5
430,465.7,5172.9
431,503.7,5069.7
432,597.5,5050.7
433,479.3,5190.4
434,565.3,5071.7
435,434.1,5063.9
436,432.3,5112.0
437,595.2,5041.0
438,449.5,5146.1
439,458.5,5161.8
440,545.8,5154.1
441,391.7,5039.6
442,459.3,5057.1
443,398.9,5059.0
444,554.2,5131.7
445,452.4,5044.5
446,486.7,5192.4
447,434.8,5072.6
448,509.3,5111.7
449,551.2,5015.3
450,419.1,5099.4
451,467.1,5126.4
452,590.1,5098.2
453,492.0,5148.7
454,550.9,5061.7
455,504.3,5101.9
456,438.1,5126.7
457,498.7,4852.9
458,582.0,4964.9
459,557.8,4992.8
460,424.3,4981.1
461,393.7,4947.9
462,563.7,4945.9
463,461.5,4911.0
464,524.4,4923.5
465,461.9,4869.2
466,538.0,4867.3
467,479.5,4862.2
468,385.2,4987.0
469,544.3,4842.6
470,474.1,4986.0
471,564.6,4841.5
472,584.5,4816.0
473,534.8,4836.6
